source_id,source_name,source_type,homepage_url,download_url,license_or_terms,priority,use_case,review_status,notes
src_0001,Open Food Facts,dataset,https://world.openfoodfacts.org/data,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,ODbL,primary,product ingredients additives allergens nutrition barcodes,needs_source,Primary product and ingredient frequency source
src_0002,Open Food Facts API,api,https://openfoodfacts.github.io/openfoodfacts-server/api/,https://world.openfoodfacts.org/api/v2/product/{barcode}.json,ODbL,primary,barcode fallback and product enrichment,needs_source,Use for app runtime fallback cache
src_0003,USDA FoodData Central,dataset_api,https://fdc.nal.usda.gov/,https://fdc.nal.usda.gov/download-datasets.html,public_domain_or_terms_review,secondary,nutrition reference and food composition,needs_source,Not primarily ingredient-label data
src_0004,FDA Food Additive Status List,regulatory,https://www.fda.gov/food/food-additives-petitions/food-additive-status-list,manual,public_government,secondary,US additive status citations,needs_source,Use for regulatory status rows
src_0005,FDA Color Additives,regulatory,https://www.fda.gov/industry/color-additives,manual,public_government,secondary,US color additive citations,needs_source,Useful for certified color rows
src_0006,Health Canada Food Additives,regulatory,https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-additives.html,manual,public_government,secondary,Canada additive and sweetener status,needs_source,Priority for Canadian app defaults
src_0007,CFIA Allergens,regulatory,https://inspection.canada.ca/en/food-labels/labelling/consumers/food-allergens-gluten-added-sulphites,manual,public_government,secondary,Canadian allergen and sulfite logic,needs_source,Priority for Canadian users
src_0008,EFSA Food Additives,regulatory,https://www.efsa.europa.eu/en/topics/topic/food-additives,manual,public_body,secondary,EU additive context,needs_source,Use for EU notes
src_0009,FooDB,dataset,https://foodb.ca/,manual,license_review_required,secondary,food compounds and chemistry enrichment,needs_source,Verify licensing before packaging derived data
src_0010,PubChem,api,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,https://pubchem.ncbi.nlm.nih.gov/rest/pug,public_domain,secondary,compound identifiers synonyms and CAS-like cross references,needs_source,Use carefully; not a food safety source
